"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," "," ","3"," "," "," "
"By hand"," ","1"," "," "," ","2"," "," "," "
"Carrying less than 5 kg"," "," ","2","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","3"," "," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," "," "
"Exposure to chemicals","3"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," "," "
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," "," "," "
"Finger dexterity"," "," ","2"," "," "," ","1"," "," "
"Grasping"," "," ","2"," "," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","2"," "," "," "
"Keyboarding on phone"," ","2"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","1"," "," "," "
"Lifting less than 5 kg"," ","1","2"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Other climbing"," ","3"," "," "," "," "," "," "," "
"Pinching"," "," ","2"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2"," ","1"," "," "," "," "," "
"Reaching"," "," ","2"," "," "," ","1"," "," "
"Sitting (Continuous)"," "," "," "," "," ","2"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","1"," "
"Stair climbing"," ","1"," "," "," ","2"," "," "," "
"Standing (Continuous)"," ","2"," "," "," ","1"," "," "," "
"Standing (Intermittent)"," "," "," "," "," ","2"," ","1"," "
"Travel via car required","3"," "," "," "," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","1"," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","2"," "," "," "
"Work only indoors"," "," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","2"," "," "," "," "," "," "," ","1"
"Total","34","28","15","2","3","20","4","3","8"
