"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," ","1"
"Bending"," ","3"," "," "," ","9"," "," "," "
"By hand"," ","2"," "," "," ","6"," ","4"," "
"Carrying less than 5 kg"," ","2","10"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","9","3"," "," "," "," "," "," "
"Congested/cluttered working areas","11"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","12"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","12"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","11"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","12"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","12"," "," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," "," "
"Exposure to strong odors","12"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","3","6","2"," "," ","1"," "," "
"Grasping"," ","4","5","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","6"," ","1"," "
"Keyboarding on phone"," ","10"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","7"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","4","7"," "," "," ","1"," "," "
"Lifting more than 5 kg"," ","7","5"," "," "," "," "," "," "
"Other climbing"," ","12"," "," "," "," "," "," "," "
"Pinching"," ","6","3","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","10","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","10","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","8","4"," "," "," "," "," "," "
"Reaching"," ","4","6","1"," "," ","1"," "," "
"Sitting (Continuous)"," "," "," "," ","3","5"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","7","3"," ","2"," "
"Stair climbing"," ","11"," "," "," ","1"," "," "," "
"Standing (Continuous)"," ","5"," "," ","2","5"," "," "," "
"Standing (Intermittent)"," "," "," "," ","2","9"," ","1"," "
"Travel via car required","11"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","10"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","7"," "," "," ","5"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","1","11"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","11"," "," "," "," "," "," "," ","1"
"Total","151","132","58","7","19","67","5","12","17"
