"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning","3"," ","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","3"," ","1"," "," "
"Follow multiple step commands"," "," "," ","4"," "
"Integrating new learning into practice","3"," ","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","3","1"
"Practicing good judgement and decision-making","3"," ","1"," "," "
"Problem solving","3"," ","1"," "," "
"Reading electronic documents","1","2","1"," "," "
"Reading paper documents (handwritten or typed)","2","2"," "," "," "
"Require instant recall of facts/data"," "," "," ","3","1"
"Self-starting/initiating","3"," ","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","3"," ","1"," "," "
"Total","24","4","8","10","2"
