"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," "," ","8"," "," "," "
"By hand"," ","2"," "," "," ","5"," ","3"," "
"Carrying less than 5 kg"," ","1","9"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","10"," "," "," "," "," "," "," "," "
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," "," "
"Exposure to strong odors","10"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","2","5","2"," "," ","1"," "," "
"Grasping"," ","3","4","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","9"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","3","6"," "," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","5"," "," "," "," "," "," "
"Other climbing"," ","10"," "," "," "," "," "," "," "
"Pinching"," ","4","3","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","8","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Reaching"," ","3","5","1"," "," ","1"," "," "
"Sitting (Continuous)"," "," "," "," ","3","5"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","6","3"," ","1"," "
"Stair climbing"," ","9"," "," "," ","1"," "," "," "
"Standing (Continuous)"," ","5"," "," ","2","3"," "," "," "
"Standing (Intermittent)"," "," "," "," ","2","7"," ","1"," "
"Travel via car required","9"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","5"," "," "," ","5"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","1","9"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," ","1"
"Total","126","103","53","7","18","57","5","7","14"
