"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","3","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","5","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","8","2"
"Integrating new learning into practice"," "," ","2","5","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7","4"
"Practicing good judgement and decision-making"," "," ","2","4","5"," "," "
"Problem solving"," "," ","5","2","4"," "," "
"Reading electronic documents"," ","4","1","6"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","7","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","4","4"
"Self-starting/initiating"," "," ","3","3","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","4","3"," "," "
"Total","4","4","26","39","30","19","10"
