"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","5"," "," "
"By hand"," "," "," "," "," ","6"," "," "
"Carrying less than 5 kg"," "," ","6"," "," "," "," "," "
"Carrying more than 5 kg"," ","4","2"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","5","1"," "," "," "," "
"Grasping"," "," ","5","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","2"," "," "," ","4"," "," "
"Keyboarding on phone"," ","2"," "," "," ","4"," "," "
"Kneeling/squatting"," ","1"," "," "," ","5"," "," "
"Lifting less than 5 kg"," "," ","6"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","3"," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "
"Pinching"," "," ","5","1"," "," "," "," "
"Pulling less than 5 kg"," ","6"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","6"," "," "," "," "," "," "
"Reaching"," "," ","5","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","3","1"," "
"Stair climbing"," "," "," "," ","1","5"," "," "
"Standing (Continuous)"," ","1"," "," ","1","4"," "," "
"Standing (Intermittent)"," "," "," "," ","1","5"," "," "
"Travel via car required","5"," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," "," ","2"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","5"," "," "
"Work only indoors","3"," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","5"," "," "," "," "," "," ","1"
"Total","64","45","39","4","10","51","1","20"
