"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","2",1
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","4"," "," "," ",1
"Independent work"," "," ","2","1","2"," "," ",1
"Work at a fast pace"," ","2","1","2"," "," "," ",1
"Work under tight deadlines"," ","4"," ","1"," "," "," ",1
"Work with clients that speak little or no English"," "," "," "," "," ","4","1",1
"Work with clients who have experienced psychological trauma","2"," "," "," "," "," ","3",1
"Work with clients who may be aggressive","5"," "," "," "," "," "," ",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5"," ",1
"Work with clients with cognitive deficits"," "," "," "," "," ","3","2",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","2","3",1
"Work with interdisciplinary team members"," ","1"," ","3","1"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","1","2",1
"Work with more than one preceptor"," "," ","1","1","3"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","5"," "," "," "," "," ",1
"Work with other students"," ","1","1","1","2"," "," ",1
"Total","12","13","6","13","8","15","13",16
