"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","4","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","8"," "
"Integrating new learning into practice"," "," ","2","3","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","3"
"Practicing good judgement and decision-making"," "," ","1","3","5"," "," "
"Problem solving"," "," ","4","1","4"," "," "
"Reading electronic documents"," ","2","1","6"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","5","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","4","3"
"Self-starting/initiating"," "," ","3","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","3","3"," "," "
"Total","3","2","22","28","29","18","6"
