"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","5","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5","7","4"," "," "
"Follow multiple step commands","4"," "," "," "," ","11","2"
"Integrating new learning into practice"," "," ","5","7","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","11","6"
"Practicing good judgement and decision-making"," "," ","5","5","7"," "," "
"Problem solving"," "," ","9","3","5"," "," "
"Reading electronic documents"," ","5","2","9","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","6","9","2"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","7","6"
"Self-starting/initiating"," "," ","6","4","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","6","7"," "," "
"Total","8","6","45","55","47","29","14"
