"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","8"," "," "," "," ","2","6",1
"Group work (e.g. Client and family meetings, team meetings)"," ","2"," ","14"," "," "," ",1
"Independent work"," "," ","7","6","3"," "," ",1
"Work at a fast pace"," ","3","1","9","3"," "," ",1
"Work under tight deadlines"," ","6","2","7","1"," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","10","5",1
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","6","6",1
"Work with clients who may be aggressive","11"," "," "," "," ","1","4",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","11","5",1
"Work with clients with cognitive deficits","3"," "," "," "," ","6","7",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","10","6",1
"Work with interdisciplinary team members"," ","1","1","12","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","6","3",1
"Work with more than one preceptor"," ","4","2","6","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","7","1","8"," "," "," ",1
"Work with other students"," ","4","3","7","2"," "," ",1
"Total","34","27","17","69","15","52","42",16
