"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","3",1
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","5"," "," "," ",1
"Independent work"," "," ","2","2","2"," "," ",1
"Work at a fast pace"," ","3","1","2"," "," "," ",1
"Work under tight deadlines"," ","5"," ","1"," "," "," ",1
"Work with clients that speak little or no English"," "," "," "," "," ","5","1",1
"Work with clients who have experienced psychological trauma","2"," "," "," "," "," ","4",1
"Work with clients who may be aggressive","6"," "," "," "," "," "," ",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","1",1
"Work with clients with cognitive deficits"," "," "," "," "," ","3","3",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","2","4",1
"Work with interdisciplinary team members"," ","1"," ","4","1"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","3"," "," "," "," ","1","2",1
"Work with more than one preceptor"," "," ","1","2","3"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","6"," "," "," "," "," ",1
"Work with other students"," ","1","1","2","2"," "," ",1
"Total","14","16","6","18","8","16","18",16
