"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","3","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2","5","5"," "," "
"Follow multiple step commands","3"," "," "," "," ","10"," "
"Integrating new learning into practice"," "," ","2","5","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","4"
"Practicing good judgement and decision-making"," "," ","2","4","7"," "," "
"Problem solving"," "," ","5","2","6"," "," "
"Reading electronic documents"," ","3","2","8"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","5","6","2"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","6","4"
"Self-starting/initiating"," "," ","4","3","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","5","5"," "," "
"Total","6","4","28","41","44","25","8"
