"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","3","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5"," ","7"," "," "
"Follow multiple step commands","1"," "," "," "," ","7","5"
"Integrating new learning into practice"," "," ","5","2","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","3"
"Practicing good judgement and decision-making"," "," ","5","1","7"," "," "
"Problem solving"," "," ","5","3","5"," "," "
"Reading electronic documents"," ","1","5","6","1"," "," "
"Reading paper documents (handwritten or typed)"," ","2","1","9","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","5","6"
"Self-starting/initiating"," "," ","6","2","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","3","6"," "," "
"Total","3","4","41","29","43","22","14"
