"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","3","6"," ","1"," "
"By hand"," ","7"," "," "," ","6"," "," "," "
"Carrying less than 5 kg"," ","4","8","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","8","5"," "," "," "," "," "," "
"Congested/cluttered working areas","10"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","12"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","11"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","11"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","9"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","11"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","9"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","3","4","3"," "," ","3"," "," "
"Grasping"," ","2","4","5"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","7"," ","1"," "
"Keyboarding on phone"," ","10"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","2"," "," ","2","8"," ","1"," "
"Lifting less than 5 kg"," ","3","8","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","7","5","1"," "," "," "," "," "
"Other climbing"," ","9"," "," ","1","3"," "," "," "
"Pinching"," ","3","5","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","7","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","10","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","9","4"," "," "," "," "," "," "
"Reaching"," ","2","4","5"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","7"," ","3"," "
"Sitting (Intermittent)"," ","1"," "," ","5","3"," ","4"," "
"Stair climbing"," ","3"," "," ","2","7"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","2","7"," ","2"," "
"Standing (Intermittent)"," ","1"," "," ","2","6"," ","4"," "
"Travel via car required","11"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","5"," "," "," ","7"," ","1"," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","3"
"Walking"," ","1"," "," ","3","8"," ","1"," "
"Work only indoors","5"," "," "," "," "," "," "," ","8"
"Work outdoors > 2 hour","11"," "," "," "," "," "," "," ","2"
"Total","139","110","62","22","25","78","9","19","43"
