"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","8"," "," "," "," ","3","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","9","2"," "," "
"Independent work"," "," ","6","4","3"," "," "
"Work at a fast pace"," "," ","3","7","3"," "," "
"Work under tight deadlines"," ","2","2","8","1"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","3","6"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","4","5"
"Work with clients who may be aggressive","8"," "," "," "," ","1","4"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","5","7"
"Work with clients with cognitive deficits","3"," "," "," "," ","7","3"
"Work with clients with multiple diagnoses","1"," "," "," "," ","7","5"
"Work with interdisciplinary team members"," "," ","4","7","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","3","3"
"Work with more than one preceptor"," ","4","3","3","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3"," ","9","1"," "," "
"Work with other students"," ","1","2","8","2"," "," "
"Total","36","10","22","55","17","33","35"
