"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","2"," "," "," "
"By hand"," ","1"," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5"," "," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","3","1"," "," "," "," "," "
"Grasping"," ","1","3"," "," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","2"," ","2"," "
"Keyboarding on phone"," ","3"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","3"," "," "," "
"Lifting less than 5 kg"," ","2","3"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "," "
"Pinching"," ","1","3","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4","1"," "," "," "," "," "," "
"Reaching"," ","1","2","2"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","1"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","3","2"," "," "," "
"Stair climbing"," ","4"," "," "," ","1"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","1"," "," "," "
"Standing (Intermittent)"," "," "," "," ","3","1"," ","1"," "
"Travel via car required","5"," "," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," ","1","1"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","4","1"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," ","1"
"Total","51","55","21","4","19","21","1","4","19"
