"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4"," ","6"," "," "
"Follow multiple step commands","1"," "," "," "," ","6","4"
"Integrating new learning into practice"," "," ","4","1","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","3"
"Practicing good judgement and decision-making"," "," ","4","1","6"," "," "
"Problem solving"," "," ","4","2","5"," "," "
"Reading electronic documents"," "," ","5","6"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","1","8"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","5","5"
"Self-starting/initiating"," "," ","6","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","3","5"," "," "
"Total","2","3","35","24","37","19","12"
