"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","2"," ","1"," "
"By hand"," ","2"," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","2"," "," "," ","2"," "," "
"Grasping"," "," ","2","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","2"," "," "," "
"Keyboarding on phone"," ","4"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","3"," ","1"," "
"Lifting less than 5 kg"," ","1","4"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","1","3","1"," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","2"," "," "," "
"Pinching"," ","1","3"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Reaching"," "," ","2","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","1","1"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","1"," ","2"," "
"Stair climbing"," ","1"," "," ","1","2"," ","1"," "
"Standing (Continuous)"," "," "," "," ","2","1"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","1","1"," ","3"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","2"," ","1"," "
"Use of sharp tools","5"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","3"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," ","1"
"Total","52","37","28","5","12","24","5","14","18"
