"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","1","1"
"Group work (e.g. Client and family meetings, team meetings)"," "," "," ","4","1"," "," "
"Independent work"," "," ","3","1","1"," "," "
"Work at a fast pace"," "," ","1","2","2"," "," "
"Work under tight deadlines"," ","1","2","2"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","3","2"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","3","1"
"Work with clients who may be aggressive","3"," "," "," "," ","1","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","2","3"
"Work with clients with cognitive deficits","2"," "," "," "," ","3"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","1"
"Work with interdisciplinary team members"," "," ","1","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","2","1"
"Work with more than one preceptor"," "," "," ","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2"," ","2","1"," "," "
"Work with other students"," "," ","1","3","1"," "," "
"Total","11","3","8","20","9","19","10"
