"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1"," ","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","3"," "," "
"Follow multiple step commands"," "," "," "," ","4"," "
"Integrating new learning into practice"," ","1","1","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","2","2"
"Practicing good judgement and decision-making"," ","1","1","2"," "," "
"Problem solving"," "," ","2","2"," "," "
"Reading electronic documents"," "," ","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","4"," "," "," "
"Require instant recall of facts/data"," "," "," "," ","2","2"
"Self-starting/initiating","1","2","1"," "," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","2"," "," "
"Total","1","5","16","14","8","4"
