"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","3"," "," "," "
"By hand"," "," "," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","1"," "," "," "," "," "
"Grasping"," "," ","2"," "," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," "," ","3"," ","1"," "
"Keyboarding on phone"," ","3"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," "," ","4"," "," "," "
"Lifting less than 5 kg"," ","1","3"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "," "," "
"Pinching"," "," ","3","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "," "," "
"Reaching"," "," ","1","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","1"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","3"," "," "," "
"Stair climbing"," ","4"," "," "," "," "," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3"," "," ","1"," "
"Travel via car required","4"," "," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","1","1"," "," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3"," "," ","1"," "
"Work only indoors","1"," "," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," "," "
"Total","43","39","18","4","12","20","3","4","13"
