"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","4"," ","1"," "
"By hand"," ","4"," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," ","2","5","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","4","4"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","8"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","3","1"," "," ","3"," "," "
"Grasping"," ","1","3","2"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","4"," ","1"," "
"Keyboarding on phone"," ","7"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," ","2","4"," ","1"," "
"Lifting less than 5 kg"," ","2","4","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","3","5"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","3"," "," "," "
"Pinching"," ","1","4","1"," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","3"," "," "," "," "," "," "
"Reaching"," ","1","3","2"," "," ","2"," "," "
"Sitting (Continuous)"," "," "," "," ","1","4"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","2","3"," ","3"," "
"Stair climbing"," ","1"," "," ","2","4"," ","1"," "
"Standing (Continuous)"," ","1"," "," ","1","4"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","1","4"," ","3"," "
"Travel via car required","7"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","3"," "," "," ","4"," ","1"," "
"Use of sharp tools","7"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","5"," ","1"," "
"Work only indoors","3"," "," "," "," "," "," "," ","5"
"Work outdoors > 2 hour","7"," "," "," "," "," "," "," ","1"
"Total","88","59","41","11","15","48","9","17","24"
