"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","2"," ","1"," "
"By hand"," ","1"," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","2"," "," "," ","2"," "," "
"Grasping"," "," ","2","1"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","2"," "," "," "
"Keyboarding on phone"," ","3"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","2"," ","1"," "
"Lifting less than 5 kg"," ","1","3"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","1","3"," "," "," "," "," "," "
"Other climbing"," ","2"," "," "," ","2"," "," "," "
"Pinching"," "," ","3"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," "," "," "," "
"Reaching"," "," ","2","1"," "," ","1"," "," "
"Sitting (Continuous)"," "," "," "," ","1","1"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","2"," "
"Stair climbing"," "," "," "," ","1","2"," ","1"," "
"Standing (Continuous)"," "," "," "," ","1","1"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","1","1"," ","2"," "
"Travel via car required","3"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","1"," "," "," ","2"," ","1"," "
"Use of sharp tools","4"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","2"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","2"
"Work outdoors > 2 hour","3"," "," "," "," "," "," "," ","1"
"Total","39","23","26","2","9","22","5","13","17"
