"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1","2"," ","1"," "
"By hand"," ","2"," "," ","1","2"," "," "," "
"Carrying less than 5 kg"," ","1","3"," "," "," ","1"," "," "
"Carrying more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","1"," "," "," ","3"," "," "
"Grasping"," ","1","1"," "," "," ","3"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","3"," ","1"," "
"Keyboarding on phone"," ","5"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","2"," ","1"," "
"Lifting less than 5 kg"," ","2","1","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," ","1","1","1"," "," ","2"," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Reaching"," ","1","1","1"," "," ","2"," "," "
"Sitting (Continuous)"," "," "," "," "," ","3"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","2"," ","2"," "
"Stair climbing"," ","2"," "," ","1","1"," ","1"," "
"Standing (Continuous)"," ","1"," "," "," ","3"," ","1"," "
"Standing (Intermittent)"," "," "," "," "," ","2"," ","3"," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","2"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","3"," "," "," ","1"," ","1"," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","3"," ","1"," "
"Work only indoors"," "," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","54","44","20","3","6","24","14","14","16"
