"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","9","5","25"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","5","12","22"," "," "
"Follow multiple step commands","3"," "," "," "," ","31","5"
"Integrating new learning into practice"," "," ","11","13","15"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","31","7"
"Practicing good judgement and decision-making"," "," ","10","5","24"," "," "
"Problem solving"," "," ","14","7","18"," "," "
"Reading electronic documents"," ","3","7","24","5"," "," "
"Reading paper documents (handwritten or typed)"," "," ","11","22","6"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","22","13"
"Self-starting/initiating"," "," ","9","14","16"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","8","9","22"," "," "
"Total","8","3","84","111","153","84","25"
