"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","11","5","34"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","6","13","31"," "," "
"Follow multiple step commands","4"," "," "," "," ","39","7"
"Integrating new learning into practice"," "," ","12","13","25"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","38","10"
"Practicing good judgement and decision-making"," "," ","10","5","35"," "," "
"Problem solving"," "," ","15","6","29"," "," "
"Reading electronic documents"," ","4","11","30","5"," "," "
"Reading paper documents (handwritten or typed)"," "," ","15","29","6"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","31","15"
"Self-starting/initiating"," "," ","12","17","21"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","9","10","31"," "," "
"Total","10","4","101","128","217","108","32"
