"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","12"," "," "," "," ","9","29"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","7","36","5"," "," "
"Independent work"," "," ","15","23","12"," "," "
"Work at a fast pace"," ","3","16","9","22"," "," "
"Work under tight deadlines"," ","7","17","18","8"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","20","27"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","14","28"
"Work with clients who may be aggressive","21"," "," "," "," ","5","24"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","26","24"
"Work with clients with cognitive deficits","3"," "," "," "," ","31","16"
"Work with clients with multiple diagnoses"," "," "," "," "," ","44","6"
"Work with interdisciplinary team members"," "," ","16","20","14"," "," "
"Work with medically fragile clients and/or those at risk of dying","14"," "," "," "," ","17","19"
"Work with more than one preceptor"," ","27","7","9","7"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5","11","27","7"," "," "
"Work with other students"," ","20","5","24","1"," "," "
"Total","61","64","94","166","76","166","173"
