"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1"," ","1"," "
"By hand"," ","2"," "," ","1"," "," "," "
"Carrying less than 3 kg"," ","1","2"," "," "," "," "," "
"Carrying more than 3 kg"," ","2","1"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," "
"Exposure to chemicals","3"," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","3"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","1"," "," ","1"," "," "
"Grasping"," ","1","1"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," ","1","1"," ","1"," "
"Keyboarding on phone"," ","3"," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," ","1"," ","1"," "
"Lifting less than 3 kg"," ","2","1"," "," "," "," "," "
"Lifting more than 3 kg"," ","2","1"," "," "," "," "," "
"Other climbing"," ","3"," "," "," "," "," "," "
"Pinching"," ","1","1"," "," ","1"," "," "
"Pulling less than 3 kg"," ","3"," "," "," "," "," "," "
"Pulling more than 3 kg"," ","3"," "," "," "," "," "," "
"Pushing less than 3 kg"," ","2","1"," "," "," "," "," "
"Pushing more than 3 kg"," ","3"," "," "," "," "," "," "
"Reaching"," ","1","1"," "," ","1"," "," "
"Sitting (Continuous)"," "," "," "," ","1"," ","2"," "
"Sitting (Intermittent)"," "," "," ","1","1"," ","1"," "
"Stair climbing"," ","1"," ","1"," "," ","1"," "
"Standing (Continuous)"," ","1"," "," ","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2"," ","1"," "
"Travel via car required","2"," "," "," "," "," "," ","1"
"Travel via public transportation required","1"," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","2"," "," "," "," ","1"," "
"Use of sharp tools","3"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2"," ","1"," "
"Work only indoors"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," "
"Total","35","36","10","3","11","4","11","7"
