"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," "," "
"Group work (e.g. Client and family meetings, team meetings)"," "," "," ","3"," "," "," "
"Independent work"," "," ","2"," ","1"," "," "
"Work at a fast pace"," "," "," ","2","1"," "," "
"Work under tight deadlines"," "," ","1","2"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","1","1"
"Work with clients who have experienced psychological trauma","1"," "," "," "," "," ","2"
"Work with clients who may be aggressive","2"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","1","2"
"Work with clients with cognitive deficits","2"," "," "," "," ","1"," "
"Work with clients with multiple diagnoses"," "," "," "," "," ","2","1"
"Work with interdisciplinary team members"," "," ","2","1"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","1","1"
"Work with more than one preceptor"," ","1"," ","2"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","2"," ","1"," "," "," "
"Work with other students"," "," "," ","3"," "," "," "
"Total","10","3","5","14","2","6","8"
