"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","3","6"," "," "," "
"By hand"," ","4"," "," ","1","5"," "," "," "
"Carrying less than 5 kg"," ","2","7"," "," "," ","1"," "," "
"Carrying more than 5 kg"," ","5","5"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","7"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","3","3"," "," ","3"," "," "
"Grasping"," "," ","3","5"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","6"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","8"," "," "," "
"Lifting less than 5 kg"," ","1","6","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","6","3","1"," "," "," "," "," "
"Other climbing"," ","8"," "," ","1","1"," "," "," "
"Pinching"," ","1","4","4"," "," ","1"," "," "
"Pulling less than 5 kg"," ","3","5","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","6","1"," "," ","1"," "," "
"Pushing more than 5 kg"," ","5","5"," "," "," "," "," "," "
"Reaching"," "," ","3","6"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," "," ","8"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","3","3"," ","4"," "
"Stair climbing"," ","2"," "," ","2","6"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","8"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","1","4"," ","5"," "
"Travel via car required","8"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," "," ","6"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","3","7"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","9"," "," "," "," "," "," "," ","1"
"Total","116","61","54","23","20","70","11","11","24"
