"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","3","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","7","1"," "," "
"Independent work"," "," ","4","3","3"," "," "
"Work at a fast pace"," ","1","2","5","2"," "," "
"Work under tight deadlines"," ","2","2","6"," "," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","3","4"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","5","2"
"Work with clients who may be aggressive","7"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","5"
"Work with clients with cognitive deficits","1"," "," "," "," ","5","4"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","3"
"Work with interdisciplinary team members"," "," ","4","5","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","3","3","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1","1","6","2"," "," "
"Work with other students"," "," ","1","8","1"," "," "
"Total","25","7","19","42","12","31","24"
