"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","58"," "," "," "," "," "," "," ","4"
"Bending"," ","9"," "," ","11","40"," ","2"," "
"By hand"," ","7"," "," ","19","31"," ","5"," "
"Carrying less than 5 kg"," ","13","34","11"," "," ","4"," "," "
"Carrying more than 5 kg"," ","43","17","2"," "," "," "," "," "
"Congested/cluttered working areas","42"," "," "," "," "," "," "," ","20"
"Exposure to chemicals","58"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","61"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","46"," "," "," "," "," "," "," ","16"
"Exposure to extreme temperatures","60"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","22"," "," "," "," "," "," "," ","40"
"Exposure to insects or animals (e.g. bed bugs, cats)","57"," "," "," "," "," "," "," ","5"
"Exposure to strong odors","45"," "," "," "," "," "," "," ","17"
"Finger dexterity"," ","6","26","11"," "," ","19"," "," "
"Grasping"," ","2","25","16"," "," ","19"," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","14","43"," ","2"," "
"Keyboarding on phone"," ","54"," "," ","1","7"," "," "," "
"Kneeling/squatting"," ","16"," "," ","5","39"," ","2"," "
"Lifting less than 5 kg"," ","8","28","18"," "," ","8"," "," "
"Lifting more than 5 kg"," ","30","24","7"," "," ","1"," "," "
"Other climbing"," ","60"," "," "," ","2"," "," "," "
"Pinching"," ","9","29","12"," "," ","12"," "," "
"Pulling less than 5 kg"," ","31","23","5"," "," ","3"," "," "
"Pulling more than 5 kg"," ","32","26","4"," "," "," "," "," "
"Pushing less than 5 kg"," ","23","27","7"," "," ","5"," "," "
"Pushing more than 5 kg"," ","16","28","14"," "," ","4"," "," "
"Reaching"," ","2","22","21"," "," ","17"," "," "
"Sitting (Continuous)"," ","12"," "," ","5","44"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","28","30"," ","4"," "
"Stair climbing"," ","31"," "," "," ","30"," ","1"," "
"Standing (Continuous)"," ","5"," "," ","17","33"," ","7"," "
"Standing (Intermittent)"," "," "," "," ","33","14"," ","15"," "
"Travel via car required","56"," "," "," "," "," "," "," ","6"
"Travel via public transportation required","58"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","32"," "," ","3","27"," "," "," "
"Use of sharp tools","57"," "," "," "," "," "," "," ","5"
"Walking"," ","1"," "," ","24","18"," ","19"," "
"Work only indoors","8"," "," "," "," "," "," "," ","54"
"Work outdoors > 2 hour","62"," "," "," "," "," "," "," "," "
"Total","690","445","309","128","160","358","92","58","178"
