"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","15"," "," "," "," ","7","40"
"Group work (e.g. Client and family meetings, team meetings)"," ","4","7","46","5"," "," "
"Independent work"," "," ","19","28","15"," "," "
"Work at a fast pace"," ","2","24","13","23"," "," "
"Work under tight deadlines"," ","7","23","26","6"," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","25","35"
"Work with clients who have experienced psychological trauma","19"," "," "," "," ","12","31"
"Work with clients who may be aggressive","30"," "," "," "," ","1","31"
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","25","35"
"Work with clients with cognitive deficits","2"," "," "," "," ","30","30"
"Work with clients with multiple diagnoses","1"," "," "," "," ","50","11"
"Work with interdisciplinary team members"," "," ","19","26","17"," "," "
"Work with medically fragile clients and/or those at risk of dying","25"," "," "," "," ","12","25"
"Work with more than one preceptor"," ","30","7","13","12"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5","13","37","7"," "," "
"Work with other students"," ","28","7","26","1"," "," "
"Total","96","76","119","215","86","162","238"
