"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","5"," "," "," "
"By hand"," ","4"," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," ","2","6"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5","3"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","8"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","3","3"," "," ","1"," "," "
"Grasping"," "," ","3","5"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","4"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","2"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","7"," "," "," "
"Lifting less than 5 kg"," ","1","6","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","2","1"," "," "," "," "," "
"Other climbing"," ","6"," "," ","1","1"," "," "," "
"Pinching"," ","1","4","3"," "," "," "," "," "
"Pulling less than 5 kg"," ","3","4","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","5","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","3"," "," "," "," "," "," "
"Reaching"," "," ","3","5"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," "," ","6"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","3","2"," ","3"," "
"Stair climbing"," ","1"," "," ","2","5"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","6"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","1","4"," ","3"," "
"Travel via car required","6"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","5"," "," "," "
"Use of sharp tools","7"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","6"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","4"
"Work outdoors > 2 hour","7"," "," "," "," "," "," "," ","1"
"Total","97","53","44","20","17","57","1","8","15"
