"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","18"," "," "," "," ","14","44"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","10","55","6"," "," "
"Independent work"," "," ","25","35","16"," "," "
"Work at a fast pace"," ","2","30","16","28"," "," "
"Work under tight deadlines"," ","8","27","33","8"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","32","41"
"Work with clients who have experienced psychological trauma","19"," "," "," "," ","14","43"
"Work with clients who may be aggressive","36"," "," "," "," ","4","36"
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","33","41"
"Work with clients with cognitive deficits","2"," "," "," "," ","42","32"
"Work with clients with multiple diagnoses","1"," "," "," "," ","62","13"
"Work with interdisciplinary team members"," "," ","24","31","21"," "," "
"Work with medically fragile clients and/or those at risk of dying","26"," "," "," "," ","19","31"
"Work with more than one preceptor"," ","37","7","17","15"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6","17","44","9"," "," "
"Work with other students"," ","32","8","35","1"," "," "
"Total","107","90","148","266","104","220","281"
