"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","5"
"Group work (e.g. Client and family meetings, team meetings)"," ","2"," ","6"," "," "," "
"Independent work"," "," ","4","3","1"," "," "
"Work at a fast pace"," "," ","2","4","2"," "," "
"Work under tight deadlines"," ","1","4","3"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","3","5"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","2","1"
"Work with clients who may be aggressive","5"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","4","3"
"Work with clients with cognitive deficits","1"," "," "," "," ","3","4"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","2"
"Work with interdisciplinary team members"," "," ","1","5","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","2","2","1","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3"," ","5"," "," "," "
"Work with other students"," ","3","1","4"," "," "," "
"Total","19","11","14","31","8","20","25"
