"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","1"," ","2"," "," "
"Follow multiple step commands","1"," "," "," "," ","2","1"
"Integrating new learning into practice"," "," ","1","1","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4"," "
"Practicing good judgement and decision-making"," "," ","1","1","2"," "," "
"Problem solving"," "," ","2","1","1"," "," "
"Reading electronic documents"," "," ","2","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","2","1"
"Self-starting/initiating"," "," ","3"," ","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","1","2"," "," "
"Total","2","1","13","11","11","8","2"
