"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," "," ","7"," "," "," "
"By hand"," ","1"," "," ","3","4"," "," "," "
"Carrying less than 5 kg"," ","1","5","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","4","2","2"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","8"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," "," "
"Exposure to strong odors","6"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","4","1"," "," ","2"," "," "
"Grasping"," "," ","3","3"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","5"," "," "," "
"Keyboarding on phone"," ","6"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","4"," "," "," "
"Lifting less than 5 kg"," ","1","1","4"," "," ","2"," "," "
"Lifting more than 5 kg"," ","4","1","3"," "," "," "," "," "
"Other climbing"," ","8"," "," "," "," "," "," "," "
"Pinching"," "," ","5","3"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","5","1"," "," "," "," "," "
"Reaching"," "," ","3","3"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","6","1"," ","1"," "
"Stair climbing"," ","1"," "," "," ","7"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","5"," "," "," "
"Standing (Intermittent)"," "," "," "," ","6","2"," "," "," "
"Travel via car required","7"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","8"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," "," ","5"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","6"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","8"," "," "," "," "," "," "," "," "
"Total","95","50","41","22","25","51","9","2","17"
