"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","3","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","6"," ","10"," "," "
"Follow multiple step commands","1"," "," "," "," ","9","7"
"Integrating new learning into practice"," "," ","4","2","11"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","11","6"
"Practicing good judgement and decision-making"," "," ","5","1","11"," "," "
"Problem solving"," "," ","7","2","8"," "," "
"Reading electronic documents"," ","2","6","9"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","2","12","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","6","9"
"Self-starting/initiating"," "," ","7","1","9"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","4","8"," "," "
"Total","3","5","46","34","68","26","22"
