"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","3","5"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","2","12","2"," "," "
"Independent work"," "," ","8","5","4"," "," "
"Work at a fast pace"," ","1","4","9","3"," "," "
"Work under tight deadlines"," ","3","2","11","1"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","4","9"
"Work with clients who have experienced psychological trauma","5"," "," "," "," ","7","5"
"Work with clients who may be aggressive","11"," "," "," "," ","1","5"
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","6","9"
"Work with clients with cognitive deficits","3"," "," "," "," ","11","3"
"Work with clients with multiple diagnoses","1"," "," "," "," ","9","7"
"Work with interdisciplinary team members"," "," ","4","10","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","10"," "," "," "," ","2","5"
"Work with more than one preceptor"," ","5","4","4","4"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3"," ","12","2"," "," "
"Work with other students"," ","2","3","9","3"," "," "
"Total","45","15","27","72","22","43","48"
