"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","18","8","50"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","14","22","39"," "," "
"Follow multiple step commands","3"," "," "," "," ","59","14"
"Integrating new learning into practice"," "," ","19","17","40"," "," "
"Memory aids can be used (e.g. information sheets)","3"," "," "," "," ","59","14"
"Practicing good judgement and decision-making"," "," ","19","6","51"," "," "
"Problem solving"," "," ","24","12","40"," "," "
"Reading electronic documents"," ","7","10","51","8"," "," "
"Reading paper documents (handwritten or typed)"," ","2","22","39","13"," "," "
"Require instant recall of facts/data","6"," "," "," "," ","42","28"
"Self-starting/initiating"," ","1","19","17","39"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","17","15","44"," "," "
"Total","12","11","162","187","324","160","56"
