"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","4","2","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","5"," ","8"," "," "
"Follow multiple step commands","1"," "," "," "," ","8","5"
"Integrating new learning into practice"," "," ","4","1","9"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","4"
"Practicing good judgement and decision-making"," "," ","4","1","9"," "," "
"Problem solving"," "," ","6","2","6"," "," "
"Reading electronic documents"," ","1","6","7"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","2","10"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","5","8"
"Self-starting/initiating"," "," ","7","1","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","4","6"," "," "
"Total","2","4","42","28","52","23","17"
