"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","12"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","3","8"," ","1"," "
"By hand"," ","7"," "," ","1","6"," "," "," "
"Carrying less than 5 kg"," ","3","10","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","8","6"," "," "," "," "," "," "
"Congested/cluttered working areas","12"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","13"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","13"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","10"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","13"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","13"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","11"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","3","3","5"," "," ","3"," "," "
"Grasping"," ","1","4","7"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","5","8"," "," "," "
"Keyboarding on phone"," ","12"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","11"," ","1"," "
"Lifting less than 5 kg"," ","2","10","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","7","6","1"," "," "," "," "," "
"Other climbing"," ","11"," "," ","1","2"," "," "," "
"Pinching"," ","3","5","4"," "," ","2"," "," "
"Pulling less than 5 kg"," ","6","7","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","11","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","9","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","9","5"," "," "," "," "," "," "
"Reaching"," ","1","5","6"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," "," ","9"," ","2"," "
"Sitting (Intermittent)"," ","1"," "," ","4","4"," ","5"," "
"Stair climbing"," ","4"," "," ","2","7"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","1","9"," ","2"," "
"Standing (Intermittent)"," ","1"," "," ","2","6"," ","5"," "
"Travel via car required","12"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","11"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","7"," "," "," ","6"," ","1"," "
"Use of sharp tools","11"," "," "," "," "," "," "," ","3"
"Walking"," ","1"," "," ","3","8"," ","2"," "
"Work only indoors","5"," "," "," "," "," "," "," ","9"
"Work outdoors > 1 hour","13"," "," "," "," "," "," "," ","1"
"Total","159","110","73","29","23","86","9","20","37"
