"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","2","2"," ","1"," "
"By hand"," ","2"," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," ","3","3"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","2","2"," "," "," ","2"," "," "
"Grasping"," "," ","3","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","2","2"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","4"," ","1"," "
"Lifting less than 5 kg"," ","1","5"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","1","4","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","2"," "," "," "
"Pinching"," ","2","3"," "," "," ","1"," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","3"," "," "," "," "," "," "
"Reaching"," "," ","3","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," ","1","1"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","2"," ","2"," "
"Stair climbing"," ","1"," "," ","1","3"," ","1"," "
"Standing (Continuous)"," "," "," "," ","2","2"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","2","1"," ","3"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","2"," ","1"," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","3"," ","2"," "
"Work only indoors","3"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," ","1"
"Total","64","44","38","5","15","28","5","15","20"
