"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","24"," "," "," "," ","16","50"
"Group work (e.g. Client and family meetings, team meetings)"," ","4","10","68","8"," "," "
"Independent work"," "," ","29","37","24"," "," "
"Work at a fast pace"," ","2","30","22","36"," "," "
"Work under tight deadlines"," ","10","26","40","14"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","38","48"
"Work with clients who have experienced psychological trauma","22"," "," "," "," ","18","50"
"Work with clients who may be aggressive","40"," "," "," "," ","7","43"
"Work with clients with challenging economic and/or personal circumstances","3"," "," "," "," ","44","43"
"Work with clients with cognitive deficits","3"," "," "," "," ","59","28"
"Work with clients with multiple diagnoses","2"," "," "," "," ","73","15"
"Work with interdisciplinary team members"," "," ","24","41","25"," "," "
"Work with medically fragile clients and/or those at risk of dying","30"," "," "," "," ","23","37"
"Work with more than one preceptor"," ","54","9","16","11"," "," "
"Work with Occupational Therapy Assistant(s)"," ","11","18","52","9"," "," "
"Work with other students"," ","36","9","42","3"," "," "
"Total","128","117","155","318","130","278","314"
