"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","5"," ","1"," "
"By hand"," ","3"," "," "," ","5"," "," "," "
"Carrying less than 8 kg"," ","2","5","1"," "," "," "," "," "
"Carrying more than 8 kg"," ","4","4"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","8"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","3","2"," "," ","3"," "," "
"Grasping"," "," ","3","3"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3","4"," "," "," "
"Keyboarding on phone"," ","7"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","2","5"," ","1"," "
"Lifting less than 8 kg"," ","1","5","2"," "," "," "," "," "
"Lifting more than 8 kg"," ","2","6"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","3"," "," "," "
"Pinching"," "," ","5","1"," "," ","2"," "," "
"Pulling less than 8 kg"," ","5","2","1"," "," "," "," "," "
"Pulling more than 8 kg"," ","6","2"," "," "," "," "," "," "
"Pushing less than 8 kg"," ","3","3","2"," "," "," "," "," "
"Pushing more than 8 kg"," ","4","4"," "," "," "," "," "," "
"Reaching"," "," ","3","3"," "," ","2"," "," "
"Sitting (Continuous)"," "," "," "," ","1","5"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","3"," ","4"," "
"Stair climbing"," ","1"," "," ","2","4"," ","1"," "
"Standing (Continuous)"," "," "," "," ","1","5"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","1","3"," ","4"," "
"Travel via car required","7"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","4"," ","1"," "
"Use of sharp tools","7"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","4"," ","1"," "
"Work only indoors","3"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," ","1"
"Total","90","47","45","15","16","51","9","17","22"
