"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","2","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","7"," "," "," "
"Independent work"," "," ","4","3","1"," "," "
"Work at a fast pace"," "," ","2","5","1"," "," "
"Work under tight deadlines"," ","1","2","5"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","3","5"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","2","3"
"Work with clients who may be aggressive","4"," "," "," "," ","1","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","3","5"
"Work with clients with cognitive deficits","2"," "," "," "," ","4","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","4"
"Work with interdisciplinary team members"," "," ","3","4","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","1","1"
"Work with more than one preceptor"," ","1","1","3","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2"," ","6"," "," "," "
"Work with other students"," "," ","2","4","2"," "," "
"Total","19","4","15","37","8","20","25"
