"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","9"," "," "," "
"By hand"," ","1"," "," ","5","5"," "," "," "
"Carrying less than 5 kg"," ","3","6","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","8","2","1"," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","7"," "," "," ","3"," "," "
"Grasping"," ","1","5","2"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3","7"," "," "," "
"Keyboarding on phone"," ","7"," "," ","1","3"," "," "," "
"Kneeling/squatting"," ","3"," "," ","2","6"," "," "," "
"Lifting less than 5 kg"," ","1","5","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","4","2"," "," "," "," "," "
"Other climbing"," ","10"," "," "," ","1"," "," "," "
"Pinching"," "," ","7","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4","6","1"," "," "," "," "," "
"Reaching"," ","1","5","2"," "," ","3"," "," "
"Sitting (Continuous)"," ","4"," "," ","2","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","7","3"," ","1"," "
"Stair climbing"," ","2"," "," "," ","9"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","7"," "," "," "
"Standing (Intermittent)"," "," "," "," ","7","4"," "," "," "
"Travel via car required","9"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","10"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","6"," "," "," "
"Use of sharp tools","11"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","8"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","10"," "," "," "," "," "," "," ","1"
"Total","123","76","62","19","34","72","10","2","31"
