"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","3","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","8","1"
"Integrating new learning into practice"," "," ","1","4","5"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","6","3"
"Practicing good judgement and decision-making"," "," ","2","1","7"," "," "
"Problem solving"," "," ","3","4","3"," "," "
"Reading electronic documents"," ","1"," ","9"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","4","6"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","5","3"
"Self-starting/initiating"," "," ","5","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","2","6"," "," "
"Total","4","1","24","33","32","19","7"
