"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," "," ","9"," "," "," "
"By hand"," ","1"," "," ","5","4"," "," "," "
"Carrying less than 5 kg"," ","2","6","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","2","1"," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","6"," "," "," ","3"," "," "
"Grasping"," ","1","4","2"," "," ","3"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","7"," "," "," "
"Keyboarding on phone"," ","7"," "," ","1","2"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","6"," "," "," "
"Lifting less than 5 kg"," ","1","4","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","3","2"," "," "," "," "," "
"Other climbing"," ","10"," "," "," "," "," "," "," "
"Pinching"," "," ","6","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","5","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4","5","1"," "," "," "," "," "
"Reaching"," ","1","4","2"," "," ","3"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","6","3"," ","1"," "
"Stair climbing"," ","2"," "," "," ","8"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","7"," "," "," "
"Standing (Intermittent)"," "," "," "," ","6","4"," "," "," "
"Travel via car required","8"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","5"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","8"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","10"," "," "," "," "," "," "," "," "
"Total","117","71","54","19","27","67","10","2","23"
