"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","28"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","5","22"," "," "," "
"By hand"," ","4"," "," ","7","17"," ","2"," "
"Carrying less than 5 kg"," ","8","17","4"," "," ","1"," "," "
"Carrying more than 5 kg"," ","20","10"," "," "," "," "," "," "
"Congested/cluttered working areas","22"," "," "," "," "," "," "," ","8"
"Exposure to chemicals","28"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","29"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","21"," "," "," "," "," "," "," ","9"
"Exposure to extreme temperatures","28"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","11"," "," "," "," "," "," "," ","19"
"Exposure to insects or animals (e.g. bed bugs, cats)","29"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","26"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","16","8"," "," ","5"," "," "
"Grasping"," ","2","14","10"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","7","19"," ","2"," "
"Keyboarding on phone"," ","27"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","8"," "," ","1","21"," "," "," "
"Lifting less than 5 kg"," ","9","10","8"," "," ","3"," "," "
"Lifting more than 5 kg"," ","14","13","3"," "," "," "," "," "
"Other climbing"," ","30"," "," "," "," "," "," "," "
"Pinching"," ","5","16","5"," "," ","4"," "," "
"Pulling less than 5 kg"," ","15","13","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","20","10"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","11","15","3"," "," ","1"," "," "
"Pushing more than 5 kg"," ","8","14","8"," "," "," "," "," "
"Reaching"," ","1","12","13"," "," ","4"," "," "
"Sitting (Continuous)"," ","6"," "," ","4","19"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","14","14"," ","2"," "
"Stair climbing"," ","19"," "," "," ","11"," "," "," "
"Standing (Continuous)"," ","6"," "," ","8","14"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","14","10"," ","6"," "
"Travel via car required","27"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","27"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","17"," "," ","2","11"," "," "," "
"Use of sharp tools","29"," "," "," "," "," "," "," ","1"
"Walking"," ","1"," "," ","11","12"," ","6"," "
"Work only indoors","6"," "," "," "," "," "," "," ","24"
"Work outdoors > 2 hour","30"," "," "," "," "," "," "," "," "
"Total","341","237","160","63","73","173","23","21","79"
