"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","8"," "," "," "," ","5","17"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","3","23","2"," "," "
"Independent work"," "," ","5","13","12"," "," "
"Work at a fast pace"," ","1","8","7","14"," "," "
"Work under tight deadlines"," ","3","10","12","5"," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","13","15"
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","5","16"
"Work with clients who may be aggressive","12"," "," "," "," "," ","18"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","16","14"
"Work with clients with cognitive deficits","3"," "," "," "," ","18","9"
"Work with clients with multiple diagnoses"," "," "," "," "," ","26","4"
"Work with interdisciplinary team members"," "," ","7","17","6"," "," "
"Work with medically fragile clients and/or those at risk of dying","9"," "," "," "," ","8","13"
"Work with more than one preceptor"," ","15","5","5","5"," "," "
"Work with Occupational Therapy Assistant(s)"," ","3","2","21","4"," "," "
"Work with other students"," ","15","3","10","2"," "," "
"Total","43","39","43","108","50","91","106"
